"Category";"Average temperature for period";"Temperature anomaly from 1981-2010 average"
1961;16.3;-1.4
1962;15.2;-2.5
1963;16.5;-1.2
1964;17;-0.7
1965;14.7;-3
1966;17.9;0.2
1967;16.7;-1
1968;15.5;-2.2
1969;16.8;-0.9
1970;16.1;-1.6
1971;17;-0.7
1972;20.2;2.5
1973;20;2.3
1974;16;-1.7
1975;17.9;0.2
1976;15.9;-1.8
1977;14.8;-2.9
1978;15.7;-2
1979;15.1;-2.6
1980;17.4;-0.3
1981;16.9;-0.8
1982;17.4;-0.3
1983;18.5;0.8
1984;15.3;-2.4
1985;16.2;-1.5
1986;17.2;-0.5
1987;15.4;-2.3
1988;20.3;2.6
1989;17.8;0.1
1990;16.2;-1.5
1991;17.9;0.2
1992;16.6;-1.1
1993;16;-1.7
1994;19.6;1.9
1995;15.6;-2.1
1996;14.8;-2.9
1997;19.1;1.4
1998;16.2;-1.5
1999;18.6;0.9
2000;16.9;-0.8
2001;20.1;2.4
2002;18.9;1.2
2003;20.6;2.9
2004;16.5;-1.2
2005;19.1;1.4
2006;18.7;1
2007;17.4;-0.3
2008;17.5;-0.2
2009;17.1;-0.6
2010;21.6;3.9
2011;20.5;2.8
2012;17.5;-0.2
2013;18;0.3
2014;20;2.3
2015;16.2;-1.5
2016;17.6;-0.1
2017;15.9;-1.8
2018;21;3.3
2019;17.4;-0.3